CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10172,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
10175,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
10176,No,High Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,8
10181,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10184,No,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,8
10185,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10188,No,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,9,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,8
10189,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,8
10190,No,High Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
10192,No,High Priority,High Priority,No Priority,No Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,8
10200,No,High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,High Priority,Slight Priority,8
10202,No,Very High Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,8
10203,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority
10205,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
10210,No,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
10220,No,Slight Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
10222,Yes,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,9,Moderate Priority,High Priority,8
10223,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,8
10224,No,Slight Priority,Slight Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
10233,No,High Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,No Priority,No Priority,Very High Priority,Slight Priority,Slight Priority,Moderate Priority,No Priority,8
10234,No,Slight Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,8
10236,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10237,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,High Priority,Slight Priority,8
10241,No,Moderate Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Very High Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,Slight Priority,8
10242,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,8
10249,No,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10253,No,Slight Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
10258,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10259,No,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,8
10261,No,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,8
10264,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10265,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,8
10266,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,8
10272,No,9,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,8
10273,No,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,8
10274,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10275,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority
10279,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10283,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,8
10285,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10291,No,Moderate Priority,Moderate Priority,Slight Priority,No Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Slight Priority,8
10292,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,8
10298,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10300,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10301,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10302,No,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority
10307,No,No Priority,No Priority,No Priority,No Priority,High Priority,High Priority,High Priority,High Priority,No Priority,No Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
10308,No,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10313,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10315,No,Very High Priority,9,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
10319,No,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,8
10322,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,8
10323,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,8
10325,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10326,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
10329,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,9
10332,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10344,No,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10346,No,Very High Priority,High Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,8
10348,No,No Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,8
10350,No,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10353,No,Moderate Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority
10361,Yes,High Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
10368,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
10378,No,Moderate Priority,Slight Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
10379,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10380,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
10385,No,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,8
10393,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10394,No,9,No Priority,9,9,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,No Priority,Moderate Priority,High Priority,No Priority,No Priority,No Priority,8
10396,No,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10401,No,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,8
10403,No,Moderate Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,8
10404,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10408,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,8
10416,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10417,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10422,No,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,High Priority,8
10423,No,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority
10427,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,8
10431,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,8
10433,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,8
10438,No,Moderate Priority,High Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,Moderate Priority,8
10444,Yes,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority
10448,No,Moderate Priority,Moderate Priority,No Priority,No Priority,High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,No Priority,Slight Priority,Slight Priority,No Priority,8
10452,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
10455,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Slight Priority,8
10458,No,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10461,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10472,No,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,No Priority,No Priority,8
10474,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
10479,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,8
10481,No,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10482,No,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,9,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,No Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority
10484,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
10485,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10490,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10492,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Moderate Priority,8
10497,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10503,No,No Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,8
10513,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
10514,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
10515,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
10524,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
10528,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10529,No,Moderate Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,8
10539,No,Moderate Priority,High Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,8
10543,Yes,Very High Priority,Very High Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority
10548,No,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,8
10553,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10557,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,8
10560,No,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,8
10561,No,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10562,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10563,No,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10564,No,High Priority,Moderate Priority,Slight Priority,No Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,8
10565,No,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,No Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,8
10566,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
10569,No,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10571,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
10572,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10573,No,High Priority,Very High Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
10575,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10577,No,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,8
10578,Yes,High Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10579,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,No Priority,Slight Priority,Very High Priority,Slight Priority,No Priority,Moderate Priority,8
10582,No,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10587,No,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10592,No,9,Very High Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
10595,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
